brand,name,option,price,rate,발색력,지속력,발림성,type,Closest_Personal_Color,x_coord,y_coord,Image URL,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,recommend_num
페리페라,페리페라 오버 블러 틴트,최애의로즈,12000,4.69928401,2.744630072,2.243436754,2.806682578,립틴트,Summer Cool,0.96954895,-0.22498928,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/3954325075018879426.jpg,0.83050171,0.5247721,0.58034378,0.96954895,0.38750536,0.83050171,50
라카,라카 팝핑 벌룬 틴트,츄이,15000,4.166666667,2.5,2.833333333,2.666666667,립틴트,Spring Warm,0.03832172,0.00762504,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/4753089749849870007.jpg,0.97654498,0.58633646,0.48916587,0.03832172,0.50381252,0.97654498,8
힌스,힌스 로 글로우 젤 틴트,칠,17000,4.480730223,2.713995943,2.464503043,2.716024341,립틴트,Summer Cool,0.80252551,-0.15359348,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/3/3028544441578581579.jpg,0.72597055,0.46769872,0.52498396,0.80252551,0.42320326,0.72597055,82
맥,MAC 립스틱,칠리,38000,4.736914601,2.811294766,2.585399449,2.785123967,립스틱,Summer Cool,0.07421463,-0.82374252,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/9186370228803949854.jpg,0.57432477,0.54190245,0.5369444,0.07421463,0.08812874,0.57437501,178
라카,라카 벌키 매트 립스틱,칠리락,16000,4.5,2.0,2.0,2.0,립스틱,Autumn Warm,0.01813544,-0.03544576,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/7364922089317949230.jpg,0.58667658,0.37902689,0.35647341,0.01813544,0.48227712,0.58667658,0
롬앤,롬앤 듀이풀 워터 틴트,칠리업,13000,4.666666667,2.515151515,2.303030303,2.643939394,립틴트,Spring Warm,0.41372356,0.14122208,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2021/10/3177904575964295032.jpg,0.78413003,0.39754908,0.37237477,0.41372356,0.57061104,0.78413003,126
토니모리,토니모리 겟잇틴트 컬러풀워터,칠리페퍼,13000,4.428571429,2.612244898,2.602040816,2.56122449,립틴트,Summer Cool,0.44095366,-0.62765336,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/6/211080606216578545.jpg,0.66594608,0.59313004,0.59596539,0.44095366,0.18617332,0.66711313,40
페리페라,페리페라 잉크 글래스팅 립글로스,칠링로지,12000,4.567567568,2.671171171,2.324324324,2.495495495,립글로스,Summer Cool,0.9823652,-0.26322744,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/2/5940017496987998321.jpg,0.78209391,0.52088879,0.54676634,0.9823652,0.36838628,0.78209391,20
힌스,힌스 무드인핸서 립 글로우,칠아웃,17000,4.75,2.375,2.0,2.5,립글로스,Spring Warm,0.03316327,-0.01567378,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/1/8451667487319785279.jpg,0.8716106,0.48367119,0.46608928,0.03316327,0.49216311,0.8716106,14
삐아,삐아 라스트 벨벳 틴트,침착보스,11000,4.731343284,2.731343284,2.656716418,2.850746269,립틴트,Summer Cool,0.80884201,-0.36588628,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/11/6045057440927198199.jpg,0.89595773,0.6301154,0.6399757,0.80884201,0.31705686,0.89595773,5
삐아,삐아 오버 글레이즈 스틱,카라멜글레이즈,14000,5.0,3.0,2.666666667,3.0,립글로스,Spring Warm,0.04803304,-0.2083567,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/7/8002495910702048120.jpg,0.77622214,0.57256945,0.49606716,0.04803304,0.39582165,0.77622214,11
토니모리,토니모리 겟잇틴트 글레이즈밤,카라멜초코,18000,5.0,2.0,2.0,3.0,립밤,Spring Warm,0.05296205,-0.29968486,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/823729588152269583.jpg,0.7760459,0.60107669,0.54177297,0.05296205,0.35015757,0.7760459,3
롬앤,롬앤 글래스팅 멜팅 밤,카야피그,13000,4.698124622,2.633192176,2.011695906,2.669086509,립밤,Winter Cool,0.99547516,0.12852404,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/6/730408043587438600.jpg,0.70109762,0.30949515,0.31940406,0.99547516,0.56426202,0.70109762,755
맥,MAC 립스틱,카인다섹시,38000,4.603375527,2.991561181,2.379746835,2.76371308,립스틱,Summer Cool,0.08740962,-0.83032788,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/4/5854401147353536833.jpg,0.54937525,0.50823487,0.50122527,0.08740962,0.08483606,0.54940469,130
맥,MAC 맥 파우더 키스 립스틱,카인다쏘어타,43000,4.0,3.0,3.0,3.0,립스틱,Winter Cool,0.98644035,-0.1612216,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2021/12/7194435782839484272.jpg,0.52906243,0.32206397,0.33534745,0.98644035,0.4193892,0.52906243,1
라카,라카 프루티 글램 틴트,카페인로즈,19000,4.337209302,2.709302326,2.488372093,2.697674419,립틴트,Autumn Warm,0.02430097,-0.06191106,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/2/7085497182478694080.jpg,0.68977324,0.46053276,0.43907149,0.02430097,0.46904447,0.68977324,101
롬앤,롬앤 듀이풀 워터 틴트,캐니언,13000,4.468457591,2.575611228,2.038333836,2.689103532,립틴트,Autumn Warm,0.02290294,-0.03967634,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/9/3255672253564874126.jpg,0.67914641,0.4237306,0.39219567,0.02290294,0.48016183,0.67914641,721
페리페라,페리페라 잉크 무드 글로이 밤,캐치유클리어,13000,4.79245283,2.566037736,2.132075472,2.528301887,립글로스,Summer Cool,0.94318547,-0.34968762,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/7868705602233454648.jpg,0.96428051,0.65592212,0.75710319,0.94318547,0.32515619,0.96428051,14
삐아,삐아 오버 글레이즈 스틱,캔디글레이즈,14000,5.0,2.833333333,2.5,2.833333333,립글로스,Summer Cool,0.90762899,-0.51937216,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/7/6864180339872455029.jpg,0.80566026,0.62803965,0.73375882,0.90762899,0.24031392,0.80566026,3
맥,MAC 글로우 플레이 텐더토크 립 밤,캔디드,38000,4.6,2.6,2.8,3.0,립밤,Winter Cool,0.94210913,0.02915128,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2023/2/1175125807044698696.jpg,0.87205551,0.46114898,0.48810492,0.94210913,0.51457564,0.87226449,95
헤라,헤라 센슈얼 파우더 매트 립스틱,커들,45000,5.0,2.909090909,2.727272727,2.727272727,립스틱,Summer Cool,0.98356264,-0.47561902,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/3/1801797755040913099.jpg,0.84741182,0.64825513,0.67060273,0.98356264,0.26219049,0.84741182,2
롬앤,롬앤 블러 퍼지 틴트,커런트잼,13000,4.739507959,2.736613603,2.319826339,2.600578871,립틴트,Winter Cool,0.98123178,0.12050208,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2021/10/819455264497114888.jpg,0.60577109,0.28783014,0.32377444,0.98123178,0.56025104,0.60577109,148
롬앤,롬앤 듀이풀 워터 틴트,커스터드모브,13000,4.721586215,2.725480939,2.234037531,2.765608403,립틴트,Summer Cool,0.78757013,-0.13162028,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/9/7149552771408698474.jpg,0.68381064,0.41996114,0.44577698,0.78757013,0.43418986,0.68381064,2865
